频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码
CCTV-5,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8,,,,,,,,,央视,,zbefine.txt,,
CCTV-14,http://39.135.138.58:18890/PLTV/88888888/224/3221225640/index.m3u8,,,,,,,,,央视,,zbefine.txt,,
CCTV-3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8,,,,,,,,,央视,,zbefine.txt,,
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8,,,,,,,,,央视,,zbefine.txt,,
CCTV-5,http://39.135.138.58:18890/PLTV/88888888/224/3221225755/index.m3u8,,,,,,,,,央视,,zbefine.txt,,
CCTV-5,http://39.135.138.58:18890/PLTV/88888888/224/3221225756/index.m3u8,,,,,,,,,央视,,zbefine.txt,,
CCTV-16奥林匹克,http://39.135.138.58:18890/PLTV/88888888/224/3221226230/index.m3u8,,,,,,,,,央视,,zbefine.txt,,
CCTV-4,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8,,,,,,,,,央视,,zbefine.txt,,
CCTV-2,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8,,,,,,,,,央视,,zbefine.txt,,
CCTV-10,http://39.135.138.58:18890/PLTV/88888888/224/3221225627/index.m3u8,,,,,,,,,央视,,zbefine.txt,,
CCTV-8,http://39.135.138.58:18890/PLTV/88888888/224/3221225635/index.m3u8,,,,,,,,,央视,,zbefine.txt,,
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221225630/index.m3u8,,,,,,,,,央视,,zbefine.txt,,
CCTV-12,http://39.135.138.58:18890/PLTV/88888888/224/3221225637/index.m3u8,,,,,,,,,央视,,zbefine.txt,,
CCTV-6,http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8,,,,,,,,,央视,,zbefine.txt,,
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8,,,,,,,,,央视,,zbefine.txt,,
CCTV-7,http://39.135.138.58:18890/PLTV/88888888/224/3221225644/index.m3u8,,,,,,,,,央视,,zbefine.txt,,
CCTV-14,http://39.135.138.58:18890/PLTV/88888888/224/3221225639/index.m3u8,,,,,,,,,央视,,zbefine.txt,,
